0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000616759,146.3750000000
0.0003700556,834.2500000000
0.0114443135,27009.1250000000
0.0063868863,14311.8750000000
0.0040294948,8369.8750000000
0.0075244648,14246.5000000000
0.0057975384,10450.2500000000
0.0063868863,10697.2500000000
0.0067089718,9978.8750000000
0.0099229736,14048.5000000000
0.0049272224,6060.7500000000
0.0072777610,8948.0000000000
0.0125955977,13310.3750000000
0.0091006277,8447.3750000000
0.0116224884,10107.0000000000
0.0027685645,1623.7500000000
0.0026452126,1219.2500000000
0.0027891231,942.1250000000
0.0039678189,1216.3750000000
0.0051396617,1725.3750000000
0.0054686001,2365.5000000000
0.0043173159,2485.3750000000
0.0025081549,1624.2500000000
0.0067089718,5089.0000000000
0.8595296182,149003.1250000000
0.0000000000,0.0000000000
