0.0000000000,0.0000000000
0.0000068529,8.3750000000
0.0000137058,13.7500000000
0.0001918807,155.6250000000
0.0008086401,547.1250000000
0.0026109482,1526.5000000000
0.0049409282,2398.0000000000
0.0100189140,3803.1250000000
0.0174474384,5535.8750000000
0.0261780105,7070.0000000000
0.0344562923,8426.0000000000
0.0409322661,10013.3750000000
0.0484430251,12093.8750000000
0.0521504345,13081.3750000000
0.0559263726,13606.3750000000
0.0588936707,14181.1250000000
0.0590581399,14848.0000000000
0.0575505057,15741.8750000000
0.0582289411,16105.3750000000
0.0557413448,14547.3750000000
0.0564883090,14184.5000000000
0.0564403388,13782.7500000000
0.0534182177,13011.2500000000
0.0501630986,12478.5000000000
0.0455099915,11406.8750000000
0.0392258984,9778.3750000000
0.0321126066,8085.5000000000
0.0262259806,6820.5000000000
0.0228954798,5605.5000000000
0.0195307146,4554.3750000000
0.0111290809,2954.1250000000
0.0032619720,1079.8750000000
