0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0597091637,63635.2500000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0145555221,13043.1250000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0121981305,8838.7500000000
0.0262328335,7136.8750000000
0.0135207368,4462.1250000000
0.0101696774,5395.7500000000
0.0415284669,11791.3750000000
0.0695499027,19057.0000000000
0.0625736685,17913.0000000000
0.0283572270,7149.0000000000
0.0982977440,23379.5000000000
0.0687549683,15500.2500000000
0.0194553329,5184.6250000000
0.0142882596,2276.6250000000
0.0135138839,2814.6250000000
0.0036457334,1389.5000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0015624572,775.7500000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.4420862915,158572.1250000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
