12: [('U+2C21', 0.8891), ('U+2C26', 0.7532), ('U+2C0E', 0.7259), ('U+2C06', 0.7246), ('U+2C04', 0.7119), ('U+2C1F', 0.6739), ('U+2C03', 0.6544), ('U+2C18', 0.6472), ('U+2C1D', 0.6458), ('U+2C27', 0.6410), ('U+2C29', 0.6368), ('U+2C08', 0.6361), ('U+2C24', 0.6306), ('U+2C20', 0.6291), ('U+2C07', 0.6187), ('U+2C14', 0.6133), ('U+2C0C', 0.6104), ('U+2C28', 0.5980), ('U+2C19', 0.5909), ('U+2C0A', 0.5905), ('U+2C2A', 0.5900), ('U+2C16', 0.5848), ('U+2C0F', 0.5840), ('U+2C22', 0.5833), ('U+2C13', 0.5811), ('U+2C1E', 0.5767), ('U+2C10', 0.5709), ('U+2C1A', 0.5691), ('U+2C0B', 0.5675), ('U+2C2B', 0.5658), ('U+2C05', 0.5622), ('U+2C01', 0.5568), ('U+2C11', 0.5514), ('U+2C15', 0.5477), ('U+2C02', 0.5435), ('U+2C1B', 0.5419), ('U+2C00', 0.5347), ('U+2C1C', 0.5309), ('U+2C17', 0.5145), ('U+2C0D', 0.5090), ('U+2C23', 0.5002), ('U+2C09', 0.4923), ('U+2C12', 0.4721)]
13: [('U+2C14', 0.9288), ('U+2C1E', 0.8094), ('U+2C19', 0.7785), ('U+2C15', 0.7443), ('U+2C01', 0.7406), ('U+2C0B', 0.7239), ('U+2C20', 0.6976), ('U+2C27', 0.6932), ('U+2C28', 0.6847), ('U+2C0F', 0.6719), ('U+2C0C', 0.6699), ('U+2C11', 0.6668), ('U+2C1F', 0.6636), ('U+2C1A', 0.6419), ('U+2C16', 0.6370), ('U+2C0A', 0.6354), ('U+2C05', 0.6311), ('U+2C1B', 0.6303), ('U+2C04', 0.6151), ('U+2C0E', 0.6147), ('U+2C2B', 0.6079), ('U+2C29', 0.5981), ('U+2C22', 0.5920), ('U+2C03', 0.5810), ('U+2C26', 0.5759), ('U+2C21', 0.5716), ('U+2C24', 0.5712), ('U+2C08', 0.5705), ('U+2C06', 0.5695), ('U+2C1D', 0.5695), ('U+2C0D', 0.5688), ('U+2C02', 0.5602), ('U+2C23', 0.5481), ('U+2C13', 0.5438), ('U+2C10', 0.5430), ('U+2C2A', 0.5139), ('U+2C1C', 0.5066), ('U+2C18', 0.4888), ('U+2C09', 0.4884), ('U+2C07', 0.4873), ('U+2C12', 0.4822), ('U+2C17', 0.4765), ('U+2C00', 0.4446)]
14: [('U+2C24', 0.8908), ('U+2C22', 0.8072), ('U+2C29', 0.7682), ('U+2C27', 0.7549), ('U+2C0E', 0.7462), ('U+2C04', 0.7385), ('U+2C10', 0.7270), ('U+2C03', 0.7267), ('U+2C02', 0.7242), ('U+2C0C', 0.7226), ('U+2C1F', 0.7187), ('U+2C26', 0.7089), ('U+2C0A', 0.6999), ('U+2C20', 0.6957), ('U+2C19', 0.6823), ('U+2C1D', 0.6803), ('U+2C1C', 0.6786), ('U+2C0B', 0.6776), ('U+2C0F', 0.6770), ('U+2C06', 0.6667), ('U+2C1A', 0.6543), ('U+2C2A', 0.6391), ('U+2C15', 0.6382), ('U+2C08', 0.6313), ('U+2C28', 0.6292), ('U+2C05', 0.6216), ('U+2C14', 0.6196), ('U+2C21', 0.6192), ('U+2C17', 0.6182), ('U+2C09', 0.6160), ('U+2C07', 0.6123), ('U+2C01', 0.5908), ('U+2C12', 0.5785), ('U+2C23', 0.5765), ('U+2C18', 0.5699), ('U+2C1E', 0.5691), ('U+2C16', 0.5652), ('U+2C1B', 0.5627), ('U+2C11', 0.5435), ('U+2C00', 0.5409), ('U+2C2B', 0.5311), ('U+2C13', 0.5211), ('U+2C0D', 0.5118)]
15: [('U+2C14', 0.9288), ('U+2C1E', 0.8094), ('U+2C19', 0.7785), ('U+2C15', 0.7443), ('U+2C01', 0.7406), ('U+2C0B', 0.7239), ('U+2C20', 0.6976), ('U+2C27', 0.6932), ('U+2C28', 0.6847), ('U+2C0F', 0.6719), ('U+2C0C', 0.6699), ('U+2C11', 0.6668), ('U+2C1F', 0.6636), ('U+2C1A', 0.6419), ('U+2C16', 0.6370), ('U+2C0A', 0.6354), ('U+2C05', 0.6311), ('U+2C1B', 0.6303), ('U+2C04', 0.6151), ('U+2C0E', 0.6147), ('U+2C2B', 0.6079), ('U+2C29', 0.5981), ('U+2C22', 0.5920), ('U+2C03', 0.5810), ('U+2C26', 0.5759), ('U+2C21', 0.5716), ('U+2C24', 0.5712), ('U+2C08', 0.5705), ('U+2C06', 0.5695), ('U+2C1D', 0.5695), ('U+2C0D', 0.5688), ('U+2C02', 0.5602), ('U+2C23', 0.5481), ('U+2C13', 0.5438), ('U+2C10', 0.5430), ('U+2C2A', 0.5139), ('U+2C1C', 0.5066), ('U+2C18', 0.4888), ('U+2C09', 0.4884), ('U+2C07', 0.4873), ('U+2C12', 0.4822), ('U+2C17', 0.4765), ('U+2C00', 0.4446)]
16: [('U+2C0D', 0.8549), ('U+2C01', 0.6498), ('U+2C1B', 0.6443), ('U+2C13', 0.6293), ('U+2C08', 0.6284), ('U+2C28', 0.6213), ('U+2C23', 0.6210), ('U+2C0C', 0.6155), ('U+2C1E', 0.5938), ('U+2C15', 0.5872), ('U+2C1D', 0.5836), ('U+2C0B', 0.5772), ('U+2C03', 0.5766), ('U+2C19', 0.5742), ('U+2C29', 0.5687), ('U+2C27', 0.5638), ('U+2C04', 0.5624), ('U+2C2A', 0.5596), ('U+2C0F', 0.5586), ('U+2C0E', 0.5585), ('U+2C12', 0.5579), ('U+2C02', 0.5571), ('U+2C06', 0.5496), ('U+2C1A', 0.5436), ('U+2C10', 0.5435), ('U+2C16', 0.5412), ('U+2C14', 0.5360), ('U+2C11', 0.5326), ('U+2C22', 0.5307), ('U+2C17', 0.5245), ('U+2C1C', 0.5208), ('U+2C1F', 0.5109), ('U+2C09', 0.5088), ('U+2C0A', 0.5079), ('U+2C2B', 0.5018), ('U+2C00', 0.5006), ('U+2C18', 0.4972), ('U+2C24', 0.4971), ('U+2C26', 0.4895), ('U+2C21', 0.4888), ('U+2C05', 0.4842), ('U+2C20', 0.4815), ('U+2C07', 0.4616)]
17: [('U+2C2A', 0.8498), ('U+2C00', 0.8359), ('U+2C1D', 0.7409), ('U+2C17', 0.7272), ('U+2C06', 0.7211), ('U+2C18', 0.6953), ('U+2C03', 0.6935), ('U+2C08', 0.6821), ('U+2C29', 0.6797), ('U+2C07', 0.6706), ('U+2C0E', 0.6693), ('U+2C1C', 0.6665), ('U+2C10', 0.6624), ('U+2C04', 0.6588), ('U+2C24', 0.6268), ('U+2C26', 0.6220), ('U+2C02', 0.6127), ('U+2C09', 0.5997), ('U+2C0C', 0.5953), ('U+2C12', 0.5950), ('U+2C21', 0.5913), ('U+2C22', 0.5788), ('U+2C27', 0.5700), ('U+2C1F', 0.5648), ('U+2C13', 0.5534), ('U+2C0F', 0.5421), ('U+2C28', 0.5406), ('U+2C23', 0.5347), ('U+2C0A', 0.5317), ('U+2C1B', 0.5294), ('U+2C1A', 0.5268), ('U+2C0D', 0.5225), ('U+2C0B', 0.5200), ('U+2C19', 0.5178), ('U+2C16', 0.5047), ('U+2C20', 0.5023), ('U+2C05', 0.4981), ('U+2C15', 0.4967), ('U+2C01', 0.4959), ('U+2C14', 0.4829), ('U+2C1E', 0.4807), ('U+2C11', 0.4771), ('U+2C2B', 0.4613)]
18: [('U+2C06', 0.9440), ('U+2C0E', 0.8557), ('U+2C04', 0.8289), ('U+2C1D', 0.8065), ('U+2C03', 0.7807), ('U+2C08', 0.7733), ('U+2C21', 0.7533), ('U+2C29', 0.7500), ('U+2C26', 0.7402), ('U+2C2A', 0.7294), ('U+2C18', 0.7232), ('U+2C0C', 0.6853), ('U+2C24', 0.6774), ('U+2C1F', 0.6774), ('U+2C27', 0.6752), ('U+2C07', 0.6593), ('U+2C10', 0.6544), ('U+2C28', 0.6342), ('U+2C00', 0.6324), ('U+2C13', 0.6314), ('U+2C22', 0.6314), ('U+2C02', 0.6176), ('U+2C0F', 0.6173), ('U+2C1C', 0.6116), ('U+2C19', 0.6113), ('U+2C17', 0.6071), ('U+2C1A', 0.6025), ('U+2C0A', 0.6014), ('U+2C0B', 0.5977), ('U+2C20', 0.5970), ('U+2C1B', 0.5933), ('U+2C14', 0.5905), ('U+2C16', 0.5879), ('U+2C01', 0.5830), ('U+2C1E', 0.5816), ('U+2C15', 0.5726), ('U+2C0D', 0.5706), ('U+2C05', 0.5670), ('U+2C09', 0.5565), ('U+2C23', 0.5552), ('U+2C11', 0.5551), ('U+2C12', 0.5451), ('U+2C2B', 0.5410)]
19: [('U+2C04', 0.9437), ('U+2C0E', 0.8932), ('U+2C03', 0.8060), ('U+2C06', 0.7904), ('U+2C29', 0.7616), ('U+2C08', 0.7612), ('U+2C1D', 0.7480), ('U+2C0C', 0.7315), ('U+2C27', 0.7223), ('U+2C21', 0.7119), ('U+2C22', 0.7118), ('U+2C24', 0.7086), ('U+2C26', 0.7082), ('U+2C1F', 0.6926), ('U+2C2A', 0.6805), ('U+2C1A', 0.6728), ('U+2C19', 0.6693), ('U+2C18', 0.6658), ('U+2C10', 0.6631), ('U+2C28', 0.6600), ('U+2C0B', 0.6455), ('U+2C02', 0.6437), ('U+2C14', 0.6376), ('U+2C0F', 0.6370), ('U+2C01', 0.6360), ('U+2C20', 0.6322), ('U+2C15', 0.6267), ('U+2C1E', 0.6262), ('U+2C13', 0.6231), ('U+2C0A', 0.6191), ('U+2C1C', 0.6114), ('U+2C07', 0.6023), ('U+2C17', 0.5944), ('U+2C1B', 0.5927), ('U+2C05', 0.5868), ('U+2C00', 0.5826), ('U+2C16', 0.5785), ('U+2C0D', 0.5739), ('U+2C23', 0.5713), ('U+2C11', 0.5553), ('U+2C09', 0.5541), ('U+2C12', 0.5491), ('U+2C2B', 0.5480)]
20: [('U+2C20', 0.7721), ('U+2C14', 0.7430), ('U+2C19', 0.7008), ('U+2C05', 0.6922), ('U+2C0B', 0.6866), ('U+2C15', 0.6719), ('U+2C0F', 0.6702), ('U+2C0A', 0.6698), ('U+2C1F', 0.6678), ('U+2C11', 0.6603), ('U+2C27', 0.6454), ('U+2C1E', 0.6292), ('U+2C0C', 0.6081), ('U+2C16', 0.6053), ('U+2C01', 0.5965), ('U+2C28', 0.5960), ('U+2C1A', 0.5868), ('U+2C1B', 0.5766), ('U+2C24', 0.5670), ('U+2C29', 0.5624), ('U+2C22', 0.5576), ('U+2C2B', 0.5574), ('U+2C26', 0.5545), ('U+2C0E', 0.5543), ('U+2C04', 0.5483), ('U+2C02', 0.5472), ('U+2C03', 0.5244), ('U+2C10', 0.5231), ('U+2C1D', 0.5231), ('U+2C21', 0.5190), ('U+2C06', 0.5165), ('U+2C23', 0.5072), ('U+2C1C', 0.4997), ('U+2C08', 0.4969), ('U+2C09', 0.4913), ('U+2C0D', 0.4877), ('U+2C2A', 0.4783), ('U+2C07', 0.4777), ('U+2C12', 0.4672), ('U+2C17', 0.4597), ('U+2C13', 0.4581), ('U+2C18', 0.4421), ('U+2C00', 0.4140)]
21: [('U+2C0F', 0.8476), ('U+2C0A', 0.7887), ('U+2C0B', 0.7816), ('U+2C19', 0.7452), ('U+2C27', 0.7342), ('U+2C15', 0.7211), ('U+2C16', 0.7174), ('U+2C11', 0.7117), ('U+2C28', 0.7082), ('U+2C0C', 0.7024), ('U+2C20', 0.6994), ('U+2C14', 0.6891), ('U+2C1B', 0.6814), ('U+2C1F', 0.6728), ('U+2C05', 0.6476), ('U+2C01', 0.6441), ('U+2C02', 0.6374), ('U+2C29', 0.6324), ('U+2C1E', 0.6197), ('U+2C23', 0.6184), ('U+2C10', 0.6066), ('U+2C2B', 0.6061), ('U+2C24', 0.6026), ('U+2C0E', 0.5935), ('U+2C1D', 0.5903), ('U+2C22', 0.5887), ('U+2C26', 0.5867), ('U+2C03', 0.5814), ('U+2C09', 0.5802), ('U+2C04', 0.5794), ('U+2C1C', 0.5744), ('U+2C1A', 0.5727), ('U+2C0D', 0.5573), ('U+2C06', 0.5565), ('U+2C08', 0.5526), ('U+2C12', 0.5509), ('U+2C2A', 0.5372), ('U+2C21', 0.5278), ('U+2C07', 0.5238), ('U+2C17', 0.5228), ('U+2C13', 0.5004), ('U+2C18', 0.4654), ('U+2C00', 0.4556)]
