12: [('U+2C21', 0.9026), ('U+2C26', 0.7642), ('U+2C0E', 0.7335), ('U+2C06', 0.7258), ('U+2C04', 0.7192), ('U+2C1F', 0.6695), ('U+2C03', 0.6649), ('U+2C18', 0.6507), ('U+2C27', 0.6485), ('U+2C1D', 0.6483), ('U+2C08', 0.6434), ('U+2C29', 0.6408), ('U+2C24', 0.6374), ('U+2C20', 0.6303), ('U+2C07', 0.6229), ('U+2C0C', 0.6143), ('U+2C14', 0.6140), ('U+2C28', 0.6049), ('U+2C0A', 0.5952), ('U+2C19', 0.5940), ('U+2C2A', 0.5926), ('U+2C22', 0.5920), ('U+2C13', 0.5869), ('U+2C0F', 0.5862), ('U+2C16', 0.5862), ('U+2C10', 0.5780), ('U+2C1E', 0.5757), ('U+2C2B', 0.5731), ('U+2C0B', 0.5705), ('U+2C1A', 0.5688), ('U+2C01', 0.5612), ('U+2C05', 0.5572), ('U+2C15', 0.5507), ('U+2C02', 0.5482), ('U+2C11', 0.5471), ('U+2C1B', 0.5402), ('U+2C00', 0.5369), ('U+2C1C', 0.5349), ('U+2C17', 0.5177), ('U+2C0D', 0.5098), ('U+2C23', 0.5063), ('U+2C09', 0.4956), ('U+2C12', 0.4753)]
13: [('U+2C14', 0.9591), ('U+2C1E', 0.7954), ('U+2C19', 0.7922), ('U+2C15', 0.7518), ('U+2C0B', 0.7339), ('U+2C01', 0.7310), ('U+2C20', 0.7162), ('U+2C27', 0.7016), ('U+2C28', 0.6800), ('U+2C0F', 0.6785), ('U+2C1F', 0.6762), ('U+2C0C', 0.6755), ('U+2C11', 0.6636), ('U+2C1A', 0.6529), ('U+2C0A', 0.6441), ('U+2C05', 0.6440), ('U+2C16', 0.6320), ('U+2C1B', 0.6263), ('U+2C04', 0.6207), ('U+2C0E', 0.6201), ('U+2C29', 0.6045), ('U+2C22', 0.6016), ('U+2C2B', 0.6013), ('U+2C03', 0.5846), ('U+2C26', 0.5816), ('U+2C24', 0.5811), ('U+2C21', 0.5738), ('U+2C06', 0.5723), ('U+2C1D', 0.5723), ('U+2C08', 0.5699), ('U+2C02', 0.5666), ('U+2C0D', 0.5614), ('U+2C10', 0.5480), ('U+2C23', 0.5470), ('U+2C13', 0.5376), ('U+2C2A', 0.5166), ('U+2C1C', 0.5119), ('U+2C09', 0.4927), ('U+2C07', 0.4907), ('U+2C18', 0.4902), ('U+2C12', 0.4849), ('U+2C17', 0.4802), ('U+2C00', 0.4460)]
14: [('U+2C24', 0.8903), ('U+2C22', 0.7952), ('U+2C29', 0.7821), ('U+2C27', 0.7755), ('U+2C0E', 0.7543), ('U+2C04', 0.7421), ('U+2C10', 0.7380), ('U+2C0C', 0.7368), ('U+2C03', 0.7346), ('U+2C02', 0.7324), ('U+2C1F', 0.7298), ('U+2C26', 0.7205), ('U+2C0A', 0.7181), ('U+2C20', 0.7042), ('U+2C0F', 0.6937), ('U+2C19', 0.6916), ('U+2C1D', 0.6909), ('U+2C0B', 0.6882), ('U+2C1C', 0.6839), ('U+2C06', 0.6737), ('U+2C1A', 0.6497), ('U+2C15', 0.6448), ('U+2C2A', 0.6444), ('U+2C28', 0.6427), ('U+2C08', 0.6379), ('U+2C14', 0.6268), ('U+2C05', 0.6256), ('U+2C21', 0.6240), ('U+2C09', 0.6230), ('U+2C17', 0.6209), ('U+2C07', 0.6200), ('U+2C01', 0.5972), ('U+2C23', 0.5856), ('U+2C12', 0.5832), ('U+2C16', 0.5783), ('U+2C1E', 0.5740), ('U+2C1B', 0.5726), ('U+2C18', 0.5705), ('U+2C11', 0.5531), ('U+2C00', 0.5427), ('U+2C2B', 0.5405), ('U+2C13', 0.5264), ('U+2C0D', 0.5183)]
15: [('U+2C14', 0.9591), ('U+2C1E', 0.7954), ('U+2C19', 0.7922), ('U+2C15', 0.7518), ('U+2C0B', 0.7339), ('U+2C01', 0.7310), ('U+2C20', 0.7162), ('U+2C27', 0.7016), ('U+2C28', 0.6800), ('U+2C0F', 0.6785), ('U+2C1F', 0.6762), ('U+2C0C', 0.6755), ('U+2C11', 0.6636), ('U+2C1A', 0.6529), ('U+2C0A', 0.6441), ('U+2C05', 0.6440), ('U+2C16', 0.6320), ('U+2C1B', 0.6263), ('U+2C04', 0.6207), ('U+2C0E', 0.6201), ('U+2C29', 0.6045), ('U+2C22', 0.6016), ('U+2C2B', 0.6013), ('U+2C03', 0.5846), ('U+2C26', 0.5816), ('U+2C24', 0.5811), ('U+2C21', 0.5738), ('U+2C06', 0.5723), ('U+2C1D', 0.5723), ('U+2C08', 0.5699), ('U+2C02', 0.5666), ('U+2C0D', 0.5614), ('U+2C10', 0.5480), ('U+2C23', 0.5470), ('U+2C13', 0.5376), ('U+2C2A', 0.5166), ('U+2C1C', 0.5119), ('U+2C09', 0.4927), ('U+2C07', 0.4907), ('U+2C18', 0.4902), ('U+2C12', 0.4849), ('U+2C17', 0.4802), ('U+2C00', 0.4460)]
16: [('U+2C0D', 0.8654), ('U+2C01', 0.6624), ('U+2C1B', 0.6514), ('U+2C28', 0.6402), ('U+2C23', 0.6399), ('U+2C13', 0.6353), ('U+2C08', 0.6273), ('U+2C0C', 0.6194), ('U+2C1E', 0.5965), ('U+2C15', 0.5937), ('U+2C0B', 0.5842), ('U+2C1D', 0.5823), ('U+2C19', 0.5804), ('U+2C03', 0.5775), ('U+2C27', 0.5717), ('U+2C29', 0.5685), ('U+2C0F', 0.5673), ('U+2C04', 0.5603), ('U+2C02', 0.5586), ('U+2C0E', 0.5581), ('U+2C12', 0.5573), ('U+2C16', 0.5562), ('U+2C2A', 0.5550), ('U+2C06', 0.5476), ('U+2C10', 0.5468), ('U+2C14', 0.5425), ('U+2C11', 0.5401), ('U+2C1A', 0.5367), ('U+2C22', 0.5309), ('U+2C17', 0.5209), ('U+2C1C', 0.5206), ('U+2C2B', 0.5178), ('U+2C0A', 0.5164), ('U+2C1F', 0.5124), ('U+2C09', 0.5111), ('U+2C24', 0.4980), ('U+2C00', 0.4952), ('U+2C18', 0.4933), ('U+2C26', 0.4932), ('U+2C21', 0.4906), ('U+2C20', 0.4860), ('U+2C05', 0.4837), ('U+2C07', 0.4642)]
17: [('U+2C00', 0.8575), ('U+2C2A', 0.8321), ('U+2C1D', 0.7237), ('U+2C17', 0.7219), ('U+2C06', 0.7030), ('U+2C18', 0.6866), ('U+2C03', 0.6753), ('U+2C08', 0.6721), ('U+2C29', 0.6629), ('U+2C1C', 0.6545), ('U+2C0E', 0.6518), ('U+2C07', 0.6515), ('U+2C10', 0.6463), ('U+2C04', 0.6432), ('U+2C24', 0.6090), ('U+2C26', 0.6034), ('U+2C02', 0.6018), ('U+2C12', 0.5926), ('U+2C09', 0.5919), ('U+2C0C', 0.5846), ('U+2C21', 0.5777), ('U+2C22', 0.5665), ('U+2C27', 0.5572), ('U+2C1F', 0.5528), ('U+2C13', 0.5498), ('U+2C0F', 0.5322), ('U+2C28', 0.5315), ('U+2C23', 0.5286), ('U+2C1B', 0.5252), ('U+2C0D', 0.5219), ('U+2C1A', 0.5203), ('U+2C0A', 0.5200), ('U+2C0B', 0.5114), ('U+2C19', 0.5090), ('U+2C16', 0.4965), ('U+2C20', 0.4916), ('U+2C05', 0.4908), ('U+2C01', 0.4897), ('U+2C15', 0.4895), ('U+2C1E', 0.4751), ('U+2C14', 0.4748), ('U+2C11', 0.4713), ('U+2C2B', 0.4534)]
18: [('U+2C06', 0.9373), ('U+2C0E', 0.8642), ('U+2C04', 0.8356), ('U+2C1D', 0.8063), ('U+2C03', 0.7741), ('U+2C29', 0.7592), ('U+2C08', 0.7561), ('U+2C21', 0.7501), ('U+2C26', 0.7449), ('U+2C2A', 0.7273), ('U+2C18', 0.7123), ('U+2C1F', 0.6929), ('U+2C0C', 0.6901), ('U+2C24', 0.6876), ('U+2C27', 0.6795), ('U+2C07', 0.6590), ('U+2C10', 0.6553), ('U+2C22', 0.6357), ('U+2C28', 0.6311), ('U+2C00', 0.6264), ('U+2C0F', 0.6228), ('U+2C02', 0.6218), ('U+2C13', 0.6175), ('U+2C19', 0.6168), ('U+2C1C', 0.6152), ('U+2C1A', 0.6115), ('U+2C17', 0.6083), ('U+2C0A', 0.6066), ('U+2C20', 0.6062), ('U+2C0B', 0.6030), ('U+2C1B', 0.5955), ('U+2C14', 0.5955), ('U+2C16', 0.5875), ('U+2C1E', 0.5845), ('U+2C01', 0.5823), ('U+2C05', 0.5785), ('U+2C15', 0.5767), ('U+2C0D', 0.5662), ('U+2C11', 0.5598), ('U+2C09', 0.5589), ('U+2C23', 0.5517), ('U+2C12', 0.5456), ('U+2C2B', 0.5373)]
19: [('U+2C04', 0.9456), ('U+2C0E', 0.8959), ('U+2C03', 0.7972), ('U+2C06', 0.7892), ('U+2C29', 0.7652), ('U+2C08', 0.7474), ('U+2C1D', 0.7459), ('U+2C0C', 0.7319), ('U+2C27', 0.7240), ('U+2C24', 0.7166), ('U+2C22', 0.7140), ('U+2C26', 0.7124), ('U+2C21', 0.7123), ('U+2C1F', 0.7032), ('U+2C1A', 0.6791), ('U+2C2A', 0.6783), ('U+2C19', 0.6720), ('U+2C10', 0.6624), ('U+2C18', 0.6617), ('U+2C28', 0.6553), ('U+2C0B', 0.6478), ('U+2C02', 0.6450), ('U+2C14', 0.6405), ('U+2C20', 0.6395), ('U+2C0F', 0.6395), ('U+2C01', 0.6321), ('U+2C15', 0.6279), ('U+2C1E', 0.6262), ('U+2C0A', 0.6224), ('U+2C13', 0.6129), ('U+2C1C', 0.6127), ('U+2C07', 0.6035), ('U+2C05', 0.5945), ('U+2C17', 0.5942), ('U+2C1B', 0.5922), ('U+2C00', 0.5798), ('U+2C16', 0.5777), ('U+2C0D', 0.5687), ('U+2C23', 0.5669), ('U+2C11', 0.5574), ('U+2C09', 0.5549), ('U+2C12', 0.5479), ('U+2C2B', 0.5452)]
20: [('U+2C20', 0.7978), ('U+2C14', 0.7378), ('U+2C19', 0.7062), ('U+2C05', 0.7047), ('U+2C0B', 0.6922), ('U+2C1F', 0.6820), ('U+2C0A', 0.6810), ('U+2C0F', 0.6760), ('U+2C15', 0.6735), ('U+2C27', 0.6547), ('U+2C11', 0.6494), ('U+2C1E', 0.6234), ('U+2C0C', 0.6151), ('U+2C16', 0.6004), ('U+2C1A', 0.5959), ('U+2C28', 0.5958), ('U+2C01', 0.5938), ('U+2C24', 0.5817), ('U+2C1B', 0.5737), ('U+2C29', 0.5721), ('U+2C22', 0.5698), ('U+2C26', 0.5641), ('U+2C0E', 0.5630), ('U+2C02', 0.5569), ('U+2C04', 0.5568), ('U+2C2B', 0.5529), ('U+2C10', 0.5321), ('U+2C03', 0.5319), ('U+2C1D', 0.5296), ('U+2C21', 0.5247), ('U+2C06', 0.5231), ('U+2C23', 0.5090), ('U+2C1C', 0.5087), ('U+2C08', 0.5011), ('U+2C09', 0.4987), ('U+2C0D', 0.4854), ('U+2C07', 0.4849), ('U+2C2A', 0.4848), ('U+2C12', 0.4726), ('U+2C17', 0.4669), ('U+2C13', 0.4583), ('U+2C18', 0.4473), ('U+2C00', 0.4190)]
21: [('U+2C0F', 0.8559), ('U+2C0A', 0.7939), ('U+2C0B', 0.7885), ('U+2C19', 0.7501), ('U+2C27', 0.7365), ('U+2C15', 0.7239), ('U+2C11', 0.7104), ('U+2C20', 0.7083), ('U+2C0C', 0.7067), ('U+2C16', 0.7056), ('U+2C28', 0.6995), ('U+2C14', 0.6897), ('U+2C1F', 0.6826), ('U+2C1B', 0.6801), ('U+2C05', 0.6605), ('U+2C02', 0.6433), ('U+2C01', 0.6402), ('U+2C29', 0.6379), ('U+2C1E', 0.6195), ('U+2C23', 0.6132), ('U+2C10', 0.6097), ('U+2C24', 0.6094), ('U+2C0E', 0.5966), ('U+2C2B', 0.5962), ('U+2C22', 0.5934), ('U+2C1D', 0.5929), ('U+2C26', 0.5890), ('U+2C09', 0.5842), ('U+2C03', 0.5830), ('U+2C04', 0.5827), ('U+2C1A', 0.5794), ('U+2C1C', 0.5793), ('U+2C06', 0.5588), ('U+2C0D', 0.5540), ('U+2C12', 0.5534), ('U+2C08', 0.5524), ('U+2C2A', 0.5399), ('U+2C21', 0.5286), ('U+2C17', 0.5263), ('U+2C07', 0.5256), ('U+2C13', 0.4974), ('U+2C18', 0.4666), ('U+2C00', 0.4571)]
